Word,Score
Koffer,0.875
leicht,0.875
richtig,0.850
Laden,0.850
Mensch,0.850
Biene,0.850
Chor,0.850
wirklich,0.850
Mandarine,0.850
echt,0.825
Sonnenblume,0.825
Beeren,0.825
Unsinn,0.825
attraktiv,0.825
Wichtigkeit,0.825
beeindruckend,0.825
Hefe,0.825
dunkel,0.825
trinken,0.825
Erdbeere,0.825
Schneeflocken,0.800
Luftdruck,0.800
erfolgreich,0.800
Kommode,0.800
Administration,0.800
Apotheke,0.800
Mund,0.800
machen,0.800
preiswert,0.800
durchdacht,0.800
Brüder,0.800
Hausmittel,0.800
Abenteuer,0.800
Geselle,0.775
Radfahrer,0.775
gelungen,0.775
eindrucksvoll,0.775
Hund,0.775
Mühle,0.775
Banane,0.775
veranschaulichen,0.775
Praktikant,0.775
perfekt,0.775
direkt,0.775
unwichtig,0.775
Brosche,0.775
lila,0.775
entspannt,0.775
Fahrradfahrer,0.775
Broschüre,0.750
Auto,0.750
Besen,0.750
permanent,0.750
Insekt,0.750
langweilig,0.750
Verein,0.750
sonnig,0.750
offenherzig,0.750
gefunden,0.750
Spanngurt,0.750
Gitarre,0.750
jemand,0.750
entfernen,0.750
rot,0.750
nett,0.750
Ei,0.725
Schraubenzieher,0.725
Chemie,0.725
munter,0.725
phantastisch,0.725
Mandarinen,0.725
Gestalt,0.725
bedeutsam,0.725
Kohl,0.725
Hilfestellung,0.725
vielseitig,0.725
intensiv,0.725
einfallsreich,0.725
gutaussehend,0.725
irgendwie,0.725
Abschnitt,0.725
hungrig,0.725
altmodisch,0.725
modern,0.725
Mitbürger,0.725
bezaubern,0.725
aushalten,0.725
lecker,0.725
ertragen,0.725
Himbeer,0.725
großartig,0.725
Lastwagen,0.725
humorvoll,0.725
elegant,0.725
Business,0.700
ehemalig,0.700
ansehnlich,0.700
genial,0.700
Reihe,0.700
passend,0.700
Miene,0.700
Klugheit,0.700
Schiff,0.700
Heidelbeere,0.700
umgraben,0.700
Vögel,0.700
Kachel,0.700
Steuerzahler,0.700
wunderbar,0.700
blau,0.700
Individuum,0.700
experimentierfreudig,0.700
erstklassig,0.700
treffend,0.700
interessant,0.700
witzig,0.700
Karotte,0.700
beschaffen,0.700
tätig,0.675
zierlich,0.675
gerade,0.675
zauberhaft,0.675
Wassermelone,0.675
Nuss,0.675
abgeben,0.675
originell,0.675
Orgel,0.675
uninteressant,0.675
hart,0.675
Spitzname,0.675
ultimativ,0.675
